x0000,y0000
545.422668,5389.
545.514954,5415.
545.607361,5385.
545.699646,5231.
545.791931,5293.
545.884216,5355.
545.976562,5365.
546.068909,5352.
546.161194,5252.
546.253418,5297.
546.345764,5284.
546.437988,5380.
546.530273,5269.
546.622498,5305.
546.714844,5293.
546.807068,5259.
546.899353,5190.
546.991577,5235.
547.083862,5170.
547.176086,5216.
547.268311,5233.
547.360535,5151.
547.452759,5242.
547.544983,5187.
547.637146,5277.
547.729309,5323.
547.821533,5351.
547.913757,5329.
548.005981,5272.
548.098145,5253.
548.190308,5294.
548.282532,5251.
548.374695,5324.
548.466797,5357.
548.55896,5372.
548.651184,5451.
548.743286,5354.
548.835449,5277.
548.927551,5281.
549.019714,5421.
549.111877,5389.
549.203918,5306.
549.296021,5283.
549.388184,5318.
549.480286,5370.
549.572388,5339.
549.66449,5288.
549.756592,5310.
549.848633,5562.
549.940735,5860.
550.032776,6125.
550.124817,6062.
550.216919,6013.
550.309021,5846.
550.401001,5600.
550.493042,5425.
550.585144,5426.
550.677185,5303.
550.769165,5304.
550.861145,5285.
550.953247,5368.
551.045227,5225.
551.137268,5284.
551.229187,5237.
551.321228,5264.
551.413269,5327.
551.505188,5256.
551.597168,5232.
551.689209,5297.
551.781128,5169.
551.873108,5090.
551.965027,5185.
552.057007,5067.
552.148987,5128.
552.240906,5256.
552.332825,5110.
552.424744,5216.
552.516663,5147.
552.608582,5277.
552.700439,5173.
552.792358,5146.
552.884277,5219.
552.976196,5277.
553.068054,5081.
553.159912,5282.
553.251831,5257.
553.34375,5331.
553.435608,5326.
553.527405,5362.
553.619324,5398.
553.711182,5662.
553.80304,5555.
553.894836,5551.
553.986694,5657.
554.078552,5719.
554.170349,5715.
554.262146,5689.
554.354004,5792.
554.445801,5703.
554.537598,5721.
554.629395,5811.
554.721191,5620.
554.812988,5735.
554.904724,5729.
554.99646,5797.
555.088318,5747.
555.180054,5855.
555.27179,5959.
555.363525,5996.
555.455261,6052.
555.547058,5962.
555.638794,5903.
555.730469,5839.
555.822144,5733.
555.91394,5684.
556.005615,5581.
556.097351,5428.
556.189026,5480.
556.280762,5465.
556.372375,5475.
556.464111,5474.
556.555725,5476.
556.647461,5444.
556.739075,5467.
556.83075,5554.
556.922424,5531.
557.014099,5487.
557.105713,5505.
557.197327,5489.
557.28894,5464.
557.380615,5389.
557.472229,5467.
557.563782,5400.
557.655396,5396.
557.74707,5402.
557.838623,5323.
557.930237,5391.
558.02179,5371.
558.113281,5368.
558.204895,5313.
558.296509,5391.
558.388062,5495.
558.479614,5515.
558.571167,5469.
558.662659,5518.
558.754211,5576.
558.845703,5531.
558.937317,5590.
559.028809,5487.
559.1203,5440.
559.211792,5393.
559.303284,5473.
559.394836,5401.
559.486267,5386.
559.577759,5427.
559.66925,5355.
559.760742,5415.
559.852173,5469.
559.943604,5408.
560.035095,5447.
560.126526,5429.
560.217957,5409.
560.309387,5408.
560.400879,5466.
560.492249,5482.
560.583618,5506.
560.67511,5537.
560.766479,5535.
560.85791,5564.
560.94928,5511.
561.040649,5616.
561.132019,5701.
561.22345,5874.
561.314758,6178.
561.406128,6409.
561.497498,7364.
561.588867,8995.
561.680237,10665.
561.771484,10811.
561.862793,10154.
561.954224,9382.
562.045532,8306.
562.136841,7202.
562.228088,6443.
562.319458,6076.
562.410767,6190.
562.501953,6518.
562.593262,6894.
562.68457,6950.
562.775818,6987.
562.867126,6765.
562.958313,6497.
563.049683,6195.
563.140869,5984.
563.232056,5780.
563.323303,5788.
563.414551,5819.
563.505737,5651.
563.596985,5698.
563.688171,5700.
563.779419,5706.
563.870544,5765.
563.961792,5810.
564.052979,5730.
564.144104,5740.
564.235352,5732.
564.326477,5672.
564.417603,5695.
564.508728,5777.
564.599915,5801.
564.69104,5896.
564.782166,5825.
564.873291,5799.
564.964478,5715.
565.055603,5775.
565.146667,5683.
565.237732,5677.
565.328918,5642.
565.419983,5647.
565.511047,5470.
565.602112,5453.
565.693237,5512.
565.784241,5385.
565.875305,5599.
565.966309,5590.
566.057373,5617.
566.148438,5594.
566.239502,5647.
566.330505,5733.
566.421509,5958.
566.512573,6116.
566.603577,6195.
566.694519,6251.
566.785522,6140.
566.876587,5957.
566.967529,5971.
567.058472,5942.
567.149414,5993.
567.240417,6053.
567.33136,6289.
567.422363,6546.
567.513306,6678.
567.604187,6700.
567.695129,6791.
567.786072,6772.
567.876953,6658.
567.967896,6660.
568.058838,6785.
568.149719,6751.
568.24054,6629.
568.331482,6456.
568.422363,6381.
568.513184,6222.
568.604065,5986.
568.694946,5855.
568.785828,5871.
568.876709,5877.
568.967468,5745.
569.05835,5802.
569.14917,5647.
569.23999,5625.
569.330811,5719.
569.42157,5623.
569.51239,5619.
569.60321,5736.
569.694031,5571.
569.78479,5646.
569.875549,5541.
569.966309,5560.
570.057068,5649.
570.147827,5548.
570.238586,5623.
570.329346,5713.
570.420044,5668.
570.510803,5549.
570.601562,5619.
570.6922,5612.
570.782898,5669.
570.873596,5663.
570.964355,5646.
571.054993,5747.
571.145691,5735.
571.236389,5761.
571.327087,5750.
571.417725,5819.
571.508362,5801.
571.598999,5801.
571.689697,5719.
571.780334,5768.
571.870972,5766.
571.961548,5850.
572.052124,5767.
572.142822,5873.
572.233398,5853.
572.323975,5817.
572.414551,5917.
572.505188,5776.
572.595703,5706.
572.686279,5747.
572.776794,5673.
572.867432,5752.
572.957947,5664.
573.048523,5606.
573.139038,5570.
573.229614,5574.
573.320129,5613.
573.410583,5629.
573.501099,5658.
573.591675,5591.
573.682129,5683.
573.772644,5566.
573.863037,5616.
573.953613,5709.
574.044067,5648.
574.134521,5582.
574.224915,5475.
574.31543,5463.
574.405884,5521.
574.496277,5504.
574.58667,5430.
574.677063,5480.
574.767578,5448.
574.857971,5510.
574.948364,5683.
575.038757,5517.
575.12915,5510.
575.219543,5519.
575.309875,5595.
575.400208,5660.
575.490601,5532.
575.580994,5548.
575.671326,5669.
575.761658,5644.
575.85199,5692.
575.942322,5743.
576.032593,5868.
576.122925,6062.
576.213318,6030.
576.303528,5996.
576.393799,5906.
576.48407,5833.
576.574402,5743.
576.664673,5575.
576.754944,5531.
576.845154,5598.
576.935425,5514.
577.025635,5419.
577.115845,5467.
577.206055,5381.
577.296326,5543.
577.386597,5427.
577.476746,5352.
577.566956,5428.
577.657104,5430.
